visit_date,restaurant_name,cuisine_type,music_tag,michelin_tag,city,google_maps_link,notes,hearts,photo_files,cover_photo,lat,lng,arrondissement
2026-01-18,Maison Bichet,French,,,Paris,https://share.google/M9CSJTr6c5UwyhlxA,A bit overrated,,previews/IMG_9096.jpg|previews/IMG_8735.jpg,previews/IMG_9096.jpg,48.8648628,2.3596745,Paris 3rd
2026-01-23,CRAFT,French,,,Chantilly,https://share.google/3Jk4FgynzZnWw8Hzs,Nice 3 course meal,1,previews/IMG_8820.jpg|previews/IMG_8821.jpg|previews/IMG_8822.jpg|previews/IMG_9338.jpg|previews/IMG_8824.jpg,previews/IMG_8820.jpg,49.1943013,2.4660942,Chantilly
2026-01-29,L'Aubergeade,French,,,Paris,https://share.google/YBhaQs1ERqCTPQAfu,Very authentic!,2,previews/IMG_9602.jpg|previews/IMG_9598.jpg|previews/IMG_8848.jpg,previews/IMG_9602.jpg,48.846612,2.383515,Paris 12th
2026-02-07,Honoré,French,,,Paris,https://share.google/hvRfLB7MNmHUHycq7,Restaurant coup de coeur,3,previews/IMG_8969.jpg|previews/IMG_8972.jpg,previews/IMG_8969.jpg,48.866517,2.346596,Paris 2nd
2026-02-08,Café de la paix,,,,Paris,https://share.google/cjgL7zwh5Dm37gin2,The brunch is a bit too expensive,,previews/IMG_8991.jpg|previews/IMG_8988.jpg|previews/IMG_9917.jpg|previews/IMG_9925.jpg,previews/IMG_8988.jpg,48.870768,2.331696,Paris 9th
2026-02-14,Clutch,French,,,Paris,https://share.google/v0VEnVzA6Op7bA85g,,1,previews/IMG_0189.jpg|previews/IMG_0166.jpg|previews/IMG_0164.jpg|previews/IMG_0167.jpg,previews/IMG_0166.jpg,48.850391,2.390143,Paris 11th
2026-02-20,Yansai,Japanese,,,Paris,https://share.google/e6ned5ST4Ba7IaOrI,,,previews/IMG_0474.jpg|previews/IMG_0475.jpg,previews/IMG_0474.jpg,48.8646655,2.3539109,Paris 3rd
2026-02-28,Les Amis Des Messina,Italian,,,Paris,https://maps.app.goo.gl/DXckphQMiUpHGVAe6,"The sardines were meh, the dessert was great!",,previews/IMG_0813.jpg|previews/IMG_0819.jpg,previews/IMG_0813.jpg,48.866925,2.348396,Paris 2nd
2026-03-14,Honoré,French,,,Paris,https://share.google/hvRfLB7MNmHUHycq7,Great food and not pricey,3,previews/IMG_9274.jpg|previews/IMG_9286.jpg|previews/IMG_1294.jpg,previews/IMG_9274.jpg,48.866517,2.346596,Paris 2nd
2026-03-28,Restaurant H,French,,Star,Paris,https://share.google/ry5TJdIOX1sckNlOl,"Michelin star, everything was delicious",3,previews/IMG_1958.jpg|previews/IMG_1956.jpg|previews/IMG_1963.jpg|previews/IMG_9365.jpg|previews/IMG_9372.jpg,previews/IMG_1956.jpg,48.854489,2.367957,Paris 4th
2026-04-02,Le Melville,"Latino, asian",Jazz,,Paris,https://share.google/4t94AaH3iFXPTa3E1,Very nice Jazz restaurant,1,previews/IMG_9406.jpg|previews/IMG_9407.jpg|previews/IMG_9410.jpg|previews/IMG_2130.jpg,previews/IMG_9406.jpg,48.871441,2.312123,Paris 8th
2026-04-04,Nouilles Ban Ban,Chinese,,,Paris,https://maps.app.goo.gl/wLF439FV1cbhqjEm9,"Very nice noodles, but the place is packed  during lunch time",,previews/IMG_2236.jpg|previews/IMG_9424.jpg,previews/IMG_2236.jpg,48.866527,2.337545,Paris 2nd
2026-04-17,Les Frères Cadet,Mix French Asian,,,Paris,https://share.google/CGmG9JmjfKJg9mJtS,,1,previews/IMG_2917.jpg|previews/IMG_2911.jpg|previews/IMG_2913.jpg|previews/IMG_9524.jpg,previews/IMG_2911.jpg,48.8752154,2.3432974,Paris 9th
2026-04-19,Maxim's,French,Piano,,Paris,https://share.google/q1AhA0pztdwbEw2kH,Nice piano and atmosphere. The Food was okay (boeuf Rossini was excellent),,previews/IMG_3100.jpg|previews/IMG_3113.jpg|previews/IMG_9544.jpg|previews/IMG_9545.jpg|previews/IMG_9549.jpg|previews/3e2308b0-1c94-4089-94b9-7af8d82c0bdb.jpg,previews/IMG_3100.jpg,48.867315,2.322225,Paris 8th
2026-04-22,Sphère,French,,,Paris,https://share.google/UwczNkQdSDSqop7nQ,Dessert was amazing but mains varied in quality.,,previews/IMG_9577.jpg|previews/IMG_3291.jpg|previews/IMG_3298.jpg|previews/IMG_9578.jpg|previews/IMG_9582.jpg|previews/IMG_3305.jpg|previews/IMG_3309.jpg,previews/IMG_9577.jpg,48.861484,2.318541,Paris 7th
